iter	Passed	Remaining
0	1	177
1	3	162
2	4	155
3	6	145
4	7	143
5	9	141
6	10	141
7	13	152
8	15	151
9	16	150
10	18	147
11	19	146
12	21	144
13	23	145
14	25	142
15	26	140
16	28	137
17	29	134
18	31	132
19	33	133
20	35	132
21	37	133
22	39	132
23	41	130
24	42	128
25	44	126
26	46	124
27	47	122
28	49	120
29	51	120
30	53	118
31	54	116
32	56	114
33	57	112
34	59	110
35	61	109
36	62	107
37	64	105
38	66	103
39	68	102
40	69	99
41	70	96
42	71	95
43	73	93
44	74	91
45	76	89
46	77	87
47	78	85
48	80	84
49	82	82
50	83	80
51	85	78
52	86	76
53	87	74
54	88	72
55	90	70
56	91	69
57	93	67
58	96	66
59	98	65
60	103	65
61	105	64
62	107	63
63	131	73
64	134	72
65	137	70
66	139	68
67	141	66
68	143	64
69	144	62
70	146	59
71	147	57
72	149	55
73	150	52
74	151	50
75	153	48
76	154	46
77	157	44
78	158	42
79	160	40
80	161	37
81	162	35
82	164	33
83	165	31
84	166	29
85	167	27
86	169	25
87	171	23
88	172	21
89	174	19
90	176	17
91	177	15
92	179	13
93	180	11
94	182	9
95	183	7
96	185	5
97	186	3
98	188	1
99	189	0
