iter	Passed	Remaining
0	17	17657
1	19	9630
2	20	6916
3	22	5556
4	23	4728
5	25	4181
6	26	3792
7	28	3496
8	32	3607
9	34	3445
10	36	3265
11	37	3118
12	39	3010
13	41	2909
14	42	2806
15	44	2734
16	47	2745
17	48	2670
18	50	2600
19	51	2534
20	54	2519
21	56	2526
22	58	2478
23	62	2557
24	65	2565
25	67	2535
26	69	2497
27	70	2459
28	72	2421
29	73	2380
30	77	2433
31	79	2406
32	81	2391
33	83	2379
34	85	2347
35	86	2318
36	87	2290
37	91	2320
38	93	2301
39	94	2279
40	97	2271
41	98	2253
42	100	2234
43	102	2216
44	105	2247
45	107	2236
46	109	2220
47	111	2207
48	112	2192
49	114	2174
50	116	2159
51	118	2167
52	123	2202
53	124	2187
54	128	2211
55	130	2206
56	136	2255
57	138	2248
58	141	2248
59	143	2244
60	145	2235
61	146	2221
62	150	2235
63	152	2235
64	155	2237
65	157	2225
66	158	2213
67	163	2243
68	165	2237
69	169	2251
70	171	2244
71	172	2225
72	174	2214
73	178	2237
74	181	2233
75	182	2224
76	184	2215
77	186	2202
78	187	2190
79	189	2176
80	192	2179
81	194	2172
82	195	2159
83	196	2147
84	198	2135
85	201	2139
86	202	2128
87	204	2116
88	208	2133
89	210	2126
90	211	2115
91	213	2109
92	216	2112
93	218	2103
94	222	2116
95	224	2117
96	226	2111
97	228	2102
98	230	2095
99	231	2087
100	234	2082
101	237	2088
102	239	2083
103	241	2079
104	243	2071
105	245	2069
106	247	2063
107	248	2056
108	252	2066
109	255	2066
110	257	2058
111	258	2049
112	261	2053
113	263	2046
114	268	2066
115	270	2062
116	272	2059
117	275	2058
118	277	2053
119	282	2070
120	284	2070
121	288	2079
122	290	2070
123	291	2061
124	293	2052
125	294	2040
126	296	2036
127	298	2030
128	299	2020
129	301	2014
130	303	2010
131	304	2000
132	305	1994
133	309	2002
134	311	1997
135	313	1993
136	315	1987
137	317	1982
138	319	1981
139	321	1975
140	325	1984
141	327	1978
142	329	1975
143	331	1969
144	332	1963
145	334	1957
146	336	1951
147	338	1946
148	340	1945
149	342	1940
150	344	1934
151	345	1928
152	347	1922
153	348	1916
154	350	1912
155	355	1920
156	356	1915
157	358	1910
158	360	1905
159	362	1900
160	364	1899
161	372	1927
162	373	1919
163	376	1920
164	378	1917
165	380	1913
166	385	1921
167	387	1918
168	389	1914
169	391	1913
170	393	1909
171	395	1904
172	398	1906
173	400	1903
174	406	1914
175	407	1909
176	415	1930
177	417	1929
178	425	1949
179	430	1963
180	433	1959
181	435	1958
182	440	1965
183	442	1961
184	443	1954
185	445	1950
186	447	1945
187	449	1940
188	450	1933
189	453	1933
190	456	1933
191	457	1923
192	458	1918
193	460	1913
194	462	1908
195	463	1902
196	465	1896
197	466	1888
198	470	1894
199	472	1889
200	474	1885
201	476	1882
202	478	1877
203	479	1872
204	483	1874
205	485	1871
206	487	1869
207	489	1864
208	492	1862
209	494	1858
210	497	1859
211	500	1859
212	502	1854
213	504	1853
214	506	1848
215	508	1845
216	510	1841
217	517	1856
218	519	1852
219	523	1855
220	525	1850
221	530	1858
222	534	1861
223	538	1865
224	540	1861
225	547	1874
226	549	1871
227	552	1869
228	554	1865
229	556	1862
230	562	1874
231	565	1871
232	572	1885
233	576	1887
234	578	1883
235	583	1889
236	585	1884
237	593	1900
238	597	1901
239	598	1896
240	604	1903
241	607	1901
242	609	1899
243	612	1896
244	613	1891
245	615	1885
246	620	1891
247	622	1887
248	624	1882
249	626	1879
250	627	1873
251	629	1869
252	634	1873
253	636	1870
254	638	1865
255	640	1860
256	642	1856
257	644	1852
258	645	1847
259	650	1850
260	651	1846
261	653	1840
262	655	1836
263	657	1832
264	659	1828
265	660	1823
266	664	1824
267	666	1820
268	667	1815
269	669	1811
270	671	1807
271	673	1802
272	677	1803
273	679	1801
274	681	1796
275	683	1793
276	685	1789
277	687	1784
278	689	1780
279	693	1783
280	695	1779
281	697	1775
282	699	1771
283	700	1767
284	702	1762
285	704	1758
286	708	1758
287	710	1756
288	712	1751
289	713	1746
290	715	1743
291	716	1738
292	718	1733
293	721	1733
294	724	1732
295	726	1727
296	727	1722
297	730	1720
298	731	1716
299	733	1711
300	736	1710
301	739	1708
302	740	1703
303	742	1700
304	744	1697
305	746	1692
306	747	1687
307	751	1689
308	753	1685
309	756	1682
310	757	1678
311	759	1674
312	761	1672
313	764	1669
314	767	1669
315	770	1666
316	771	1662
317	773	1659
318	775	1654
319	776	1650
320	778	1647
321	782	1647
322	784	1643
323	785	1639
324	787	1636
